fecha,valor
2025-09-14,53
2025-09-15,49
2025-09-16,51
2025-09-17,40
2025-09-18,75
2025-09-19,1791
2025-09-20,161
2025-09-21,56
2025-09-22,2354
2025-09-23,674
2025-09-24,615
2025-09-25,750
2025-09-26,71
2025-09-27,71
2025-09-28,64
2025-09-29,397
2025-09-30,992
2025-10-01,237
2025-10-02,49
2025-10-03,31
2025-10-04,826
2025-10-05,1056
2025-10-06,1969
2025-10-07,1760
2025-10-08,1166
2025-10-09,757
2025-10-10,524
2025-10-11,843
2025-10-12,1623
2025-10-13,1339
2025-10-14,1150
2025-10-15,770
2025-10-16,1438
2025-10-17,7650
2025-10-18,1410
2025-10-19,1203
2025-10-20,1019
2025-10-21,286
2025-10-22,1460
2025-10-23,759
2025-10-24,540
2025-10-25,175
2025-10-26,104
2025-10-27,198
2025-10-28,746
2025-10-29,2038
2025-10-30,863
2025-10-31,2437
2025-11-01,1326
2025-11-02,817
2025-11-03,403
2025-11-04,5350
2025-11-05,1307
2025-11-06,596
2025-11-07,918
2025-11-08,599
2025-11-09,319
2025-11-10,2444
2025-11-11,1360
2025-11-12,2888
2025-11-13,2036
2025-11-14,1000
2025-11-15,356
2025-11-16,1159
2025-11-17,726
2025-11-18,542
2025-11-19,3187
2025-11-20,1569
2025-11-21,1347
2025-11-22,2033
2025-11-23,4655
2025-11-24,2350
2025-11-25,1295
2025-11-26,548
2025-11-27,1452
2025-11-28,762
2025-11-29,1512
2025-11-30,556
2025-12-01,279
2025-12-02,102
2025-12-03,816
2025-12-04,733
2025-12-05,7482
2025-12-06,13764
2025-12-07,5591
2025-12-08,1758
2025-12-09,2847
2025-12-10,1464
2025-12-11,537
2025-12-12,1698
2025-12-13,723
2025-12-14,457
2025-12-15,400
2025-12-16,1085
2025-12-17,1295
2025-12-18,2605
2025-12-19,1464
2025-12-20,1637
2025-12-21,4075
2025-12-22,2228
2025-12-23,1507
2025-12-24,1335
2025-12-25,1212
2025-12-26,969
2025-12-27,702
2025-12-28,1129
2025-12-29,819
2025-12-30,2511
2025-12-31,2670
2026-01-01,2594
2026-01-02,2282
2026-01-03,2656
2026-01-04,1739
2026-01-05,2369
2026-01-06,1998
2026-01-07,6202
2026-01-08,1865
2026-01-09,2181
2026-01-10,1236
2026-01-11,1716
2026-01-12,1258
2026-01-13,2959
2026-01-14,1969
2026-01-15,1402
2026-01-16,1460
2026-01-17,1489
2026-01-18,2616
2026-01-19,2730
2026-01-20,1480
2026-01-21,819
2026-01-22,2357
2026-01-23,2307
2026-01-24,1545
2026-01-25,2563
2026-01-26,2184
2026-01-27,1462
2026-01-28,8778
2026-01-29,5736
2026-01-30,3834
2026-01-31,4053
2026-02-01,11056
2026-02-02,4775
2026-02-03,2863
2026-02-04,2678
2026-02-05,3418
2026-02-06,2780
2026-02-07,1779
2026-02-08,2730
2026-02-09,5861
2026-02-10,2765
2026-02-11,1591
2026-02-12,3072
2026-02-13,2491
2026-02-14,1019
2026-02-15,1114
2026-02-16,619
2026-02-17,309
2026-02-18,251
2026-02-19,1292
2026-02-20,1599
2026-02-21,506
2026-02-22,278
2026-02-23,1043
2026-02-24,1630
2026-02-25,326
2026-02-26,1126
2026-02-27,1187
2026-02-28,886
2026-03-01,1152
2026-03-02,3757
2026-03-03,860
2026-03-04,431
2026-03-05,177
2026-03-06,660
2026-03-07,319
2026-03-08,273
2026-03-09,1000
2026-03-10,1460
2026-03-11,2264
2026-03-12,2594
2026-03-13,1560
2026-03-14,406
2026-03-15,476
2026-03-16,434
2026-03-17,3702
2026-03-18,1643
2026-03-19,1860
2026-03-20,361
2026-03-21,8494
2026-03-22,52280
2026-03-23,12735
2026-03-24,8708
2026-03-25,5385
2026-03-26,4578
2026-03-27,3154
2026-03-28,3131
2026-03-29,2929
2026-03-30,3434
2026-03-31,2976
2026-04-01,2580
2026-04-02,4053
2026-04-03,2373
2026-04-04,1438
2026-04-05,3159
2026-04-06,1953
2026-04-07,9148
2026-04-08,30007
2026-04-09,19414
2026-04-10,11401
2026-04-11,8066
2026-04-12,7933
2026-04-13,6694
2026-04-14,6259
2026-04-15,5501
2026-04-16,3827
2026-04-17,3770
2026-04-18,3860
2026-04-19,4039
2026-04-20,3423
2026-04-21,3370
2026-04-22,4684
2026-04-23,3612
2026-04-24,2888
2026-04-25,5976
2026-04-26,6266
2026-04-27,5689
2026-04-28,1520
2026-04-29,1247
2026-04-30,1019
2026-05-01,1284
2026-05-02,1606
2026-05-03,5304
2026-05-04,2634
2026-05-05,2121
2026-05-06,2243
2026-05-07,1573
2026-05-08,3745
2026-05-09,3982
2026-05-10,9784
2026-05-11,17070
2026-05-12,23271
2026-05-13,28465
2026-05-14,24431
2026-05-15,37791
2026-05-16,37657
2026-05-17,38530
2026-05-18,30046
2026-05-19,31769
2026-05-20,31397
2026-05-21,30858
2026-05-22,28713
2026-05-23,26192
2026-05-24,26078
2026-05-25,26363
2026-05-26,107497
2026-05-27,179561
2026-05-28,107151
2026-05-29,60847
2026-05-30,40404
2026-05-31,29862
2026-06-01,13400
2026-06-02,10191
2026-06-03,8387
2026-06-04,4357
2026-06-05,5620
2026-06-06,11793
2026-06-07,11536
2026-06-08,4451
2026-06-09,4017
2026-06-10,3783
2026-06-11,3745
2026-06-12,2316
2026-06-13,1432
2026-06-14,1054
2026-06-15,736
2026-06-16,522
2026-06-17,762
